Index,avg_price_per_kg
1,12.0
2,12.02
3,10.0
4,8.740000000000006
5,7.67
6,4.5
7,3.64
8,8.16
9,8.23
10,9.29
11,5.43
12,6.0
13,8.81
14,4.44
15,4.44
16,6.11
17,8.0
18,4.44
19,10.28
20,6.06
21,6.11
22,5.5
23,6.09
24,7.78
25,5.560000000000001
26,7.08
27,9.48
28,7.61
29,7.13
30,7.93
31,7.71
32,6.0
33,9.65
34,7.65
35,4.87
36,9.84
37,10.93
38,11.11
39,6.36
40,6.11
41,8.85
42,7.98
43,4.92
44,6.39
45,5.560000000000001
46,4.56
47,5.0
48,5.16
49,6.11
50,4.37
51,2.0
52,6.24
53,6.24
54,13.66
55,8.0
56,4.57
57,12.0
58,8.96
59,8.49
60,6.0
61,9.29
62,11.11
63,6.03
64,8.91
65,5.46
66,6.47
67,7.78
68,4.51
69,5.5
70,7.1
71,5.46
72,4.67
73,2.9
74,8.0
75,6.67
76,4.79
77,6.11
78,9.58
79,10.93
80,6.56
81,5.68
82,5.0
83,5.9
84,5.56
85,1.11
86,6.19
87,7.65
88,12.13
89,4.88
90,6.54
91,9.37
92,8.74
93,8.03
94,6.36
95,6.0
96,7.25
97,8.19
98,8.739999999999998
99,6.91
100,5.56
101,9.98
102,6.68
103,6.0
104,7.65
105,7.51
106,8.47
107,8.22
108,2.73
109,10.0
110,5.0
111,5.08
112,7.82
113,6.12
114,4.24
115,6.76
116,10.0
117,5.25
118,9.26
119,4.4399999999999995
120,7.61
121,5.95
122,4.58
123,9.97
124,4.5
125,8.17
126,7.55
127,5.25
128,9.58
129,9.84
130,6.24
131,6.29
132,5.78
133,9.48
134,8.18
135,1.25
136,6.23
137,7.78
138,8.05
139,7.67
140,5.63
141,8.08
142,5.5
143,9.14
144,6.31
145,9.29
146,6.670000000000001
147,6.0
148,8.35
149,5.46
150,8.83
151,10.0
152,8.02
153,4.41
154,8.81
155,7.09
156,10.93
157,5.8
158,5.06
159,6.0
160,6.39
161,7.98
162,9.93
163,6.83
164,8.38
165,8.67
166,8.56
167,7.78
168,6.65
169,5.0
170,7.61
171,8.39
172,5.96
173,5.0
174,11.46
175,5.78
176,5.61
177,8.74
178,5.69
179,6.47
180,8.0
181,5.0
182,4.0
183,9.37
184,6.63
185,6.66
186,1.25
187,5.77
188,9.840000000000002
189,5.72
190,7.6
191,5.56
192,8.69
193,5.0
194,4.54
195,10.0
196,8.87
197,8.62
198,6.95
199,6.0
200,6.53
201,6.67
202,3.0
203,7.33
204,1.67
205,6.33
206,4.3
207,7.97
208,7.78
209,7.1
210,8.16
211,7.33
212,13.83
213,5.5
214,5.59
215,9.43
216,5.5600000000000005
217,5.67
218,5.33
219,9.97
220,8.22
221,5.55
222,5.0
223,8.51
224,10.93
225,10.9
226,7.23
227,5.42
228,5.45
229,9.0
230,5.5600000000000005
231,4.84
232,9.44
233,7.65
234,5.45
235,6.67
236,6.11
237,8.68
238,8.739999999999998
239,3.7
240,5.78
241,4.44
242,5.329999999999999
243,6.06
244,8.0
245,10.93
246,7.0
247,5.33
248,7.649999999999999
249,5.33
250,9.22
251,9.41
252,9.84
253,5.26
254,5.0
255,6.670000000000001
256,4.5
257,7.4
258,8.53
259,8.83
260,8.47
261,10.67
262,10.67
263,5.99
264,5.56
265,4.93
266,6.83
267,5.01
268,6.33
269,4.85
270,6.67
271,10.0
272,6.41
273,11.48
274,2.22
275,7.71
276,9.97
277,5.25
278,6.67
279,6.0
280,8.59
281,5.0
282,6.19
283,6.33
284,4.45
285,9.29
286,4.5
287,5.78
288,5.45
289,8.2
290,8.9
291,6.0
292,6.45
293,6.5
294,1.25
295,6.56
296,7.0
297,8.28
298,9.44
299,7.38
300,7.89
301,5.560000000000001
302,6.11
303,4.47
304,6.73
305,8.19
306,8.74
307,5.69
308,3.8
309,8.89
310,6.42
311,6.11
312,7.34
313,4.85
314,8.21
315,10.67
316,8.74
317,6.46
318,5.56
319,6.75
320,6.11
321,6.59
322,6.669999999999995
323,4.37
324,6.94
325,5.0
326,3.89
327,7.92
328,5.65
329,10.93
330,6.28
331,5.15
332,5.55
333,9.32
334,6.45
335,8.200000000000001
336,8.0
337,8.89
338,6.6699999999999955
339,7.5
340,4.48
341,6.67
342,5.6
343,9.17
344,6.93
345,9.01
346,6.67
347,9.48
348,5.09
349,8.0
350,8.0
351,8.02
352,9.52
353,7.650000000000002
354,8.64
355,6.56
356,6.670000000000001
357,5.66
358,8.5
359,8.2
360,8.66
361,6.56
362,6.6
363,7.17
364,9.59
365,5.27
366,6.26
367,7.63
368,7.33
369,5.51
370,8.33
371,4.75
372,6.6699999999999955
373,6.11
374,9.57
375,6.11
376,7.17
377,5.0
378,5.69
379,7.650000000000002
380,6.74
381,5.82
382,7.1
383,6.58
384,7.43
385,2.05
386,7.65
387,6.68
388,7.68
389,3.33
390,8.5
391,5.7
392,6.0
393,9.87
394,9.0
395,1.67
396,8.34
397,6.71
398,7.14
399,7.56
400,6.15
401,5.61
402,3.33
403,9.96
404,4.98
405,6.88
406,9.29
407,5.0
408,6.71
409,4.67
410,10.0
411,8.89
412,4.24
413,6.4
414,8.9
415,9.29
416,5.0
417,8.29
418,5.33
419,10.0
420,6.67
421,3.57
422,4.44
423,7.91
424,6.12
425,6.71
426,9.33
427,8.37
428,7.78
429,8.19
430,6.6
431,11.2
432,8.05
433,7.7
434,11.6
435,6.61
436,7.91
437,4.55
438,5.56
439,6.21
440,5.87
441,8.05
442,6.0
443,10.0
444,9.85
445,8.74
446,10.49
447,7.82
448,8.2
449,8.85
450,8.25
451,10.0
452,7.24
453,9.29
454,6.66
455,6.5600000000000005
456,7.87
457,8.2
458,8.34
459,4.44
460,7.71
461,5.3
462,8.79
463,5.5600000000000005
464,5.61
465,9.91
466,4.05
467,4.9
468,7.57
469,5.53
470,8.41
471,8.0
472,8.33
473,5.55
474,5.22
475,5.5
476,10.01
477,9.98
478,4.12
479,7.55
480,5.560000000000001
481,5.45
482,7.650000000000001
483,4.17
484,3.43
485,8.62
486,7.5
487,8.31
488,3.33
489,3.4
490,4.12
491,5.98
492,6.67
493,8.2
494,7.87
495,10.21
496,6.3
497,4.39
498,7.86
499,8.200000000000001
500,8.74
501,9.33
502,13.33
503,8.59
504,9.0
505,9.07
506,10.0
507,7.33
508,6.670000000000001
509,6.67
510,5.33
511,8.47
512,7.1
513,5.93
514,4.44
515,7.68
